010011,011100,111010,101111,110001,110110
010101,111000,010011,100111,011110,001001
001011,011101,110011,101101,111010,000110
000111,011101,010011,100001,101010,110100
001101,100101,101011,010011,111110,111001
001100,101001,010101,110100,011010,100111
101001,000111,100010,011110,110101,010011
101100,010100,110010,100101,111001,001111
010110,100101,100010,110001,111100,001011
011111,111001,111100,110010,110101,101111
010011,011100,111010,101111,110001,110110
001011,011101,110011,101101,111010,000110
010101,111000,010011,100111,011110,001001
110001,000111,100010,011110,110101,010011
010011,011100,111010,101111,110001,110110
001100,101001,010101,110100,011010,100111
101100,010100,110010,100101,111001,001111
010011,011100,111010,101111,110001,110110
001101,100101,101011,010011,111110,111001
101100,010100,110010,100101,111001,001111
001011,011101,110011,101101,111010,000110
001101,100101,101011,010011,111110,111001
001011,011101,110011,101101,111010,000110
001011,011101,110011,101101,111010,000110
010011,011100,111010,101111,110001,110110
001011,011101,110011,101101,111010,000110
010011,011100,111010,101111,110001,110110
011111,111001,111100,110010,110101,101111
010101,111000,010011,100111,011110,001001
010101,111000,010011,100111,011110,001001
001100,101001,010101,110100,011010,100111
101001,000111,100010,011110,110101,010011
001101,100101,101011,010011,111110,111001
001100,101001,010101,110100,011010,100111
0011010,11001,010011,100111,011110,001001
010101,111000,010011,100111,011110,001001
010101,111000,010011,100111,011110,001001
001011,011101,110011,101101,111010,000110
101001,000111,100010,011110,110101,010011
010101,111000,010011,100111,011110,001001
001011,011101,110011,101101,111010,000110
001100,101001,010101,110100,011010,000111
001011,011101,110011,101101,111010,000110
010101,111000,010011,101111,011110,001001
101001,011100,110010,100111,111001,010110
001101,100101,101011,010011,111110,111001
011111,111001,111100,110010,110101,101111
001101,100101,101011,010011,111110,111001
101100,010100,110010,100101,111001,001111
010101,111000,010011,100111,011110,001001
001100,101001,010101,110100,011010,100111
011111,111001,111100,110010,110101,101111
010101
010011,011100,111010,101111,110001,110110
101100,010100,110010,100101,111001,001111
001100,101001,010101,110100,011010,100111
101001,000111,100010,011110,110101,010011
101001,000111,100010,011110,110101,010011
010101,111000,010011,100111,011110,001001
001101,100101,101011,010011,111110,111001
010101,111000,010011,100111,011110,001001
001101,100101,101011,010011,111110,111001
001011,011101,110011,101101,111010,000110
010110,100101,100010,110001,111100,001011
001011,011101,110011,101101,111010,000110
001011,011101,110011,101101,111010,000110
101001,000111,100010,011110,110101,010011
001011,011101,110011,101101,111010,000110
001011,011101,110011,101101,111010,000110
010011,011100,111010,101111,110001,110110
010011,011100,111010,101111,110001,110110
001101,100101,101011,010011,111110,111001
010110,100101,100010,110001,111100,001011
010101,111000,010011,100111,011110,001001
001100,101001,010101,110100,011010,100111
010110,100101,100010,110001,111100,001011
001100,101001,010101,110100,011010,10
010011,011100,111010,101111,110001,110110
001100,101001,010101,110100,011010,100111
001011,011101,110011,101101,111010,000110
010011,011100,111010,101111,110001,110110
011111,111001,111100,110010,110101,101111
001011,011101,110011,101101,111010,000110
010110,100101,100010,110001,111100,001011
010011,011100,111010,101111,110001,110110
001011,011101,110011,101101,111010,000110
001101,100101,101011,010011,111110,111001
101001,000111,100010,011110,110101,010011
010110,100101,100010,110001,111100,001011
001100,101001,010101,100100,011010,100111
101001,000111,100010,011110,110101,010011
101100,010100,110010,100101,111001,001111
001101,100101,101011,010011,111110,111001
101100,010100,110010,100101,111001,001111
101100,010100,110010,100101,111001,001111
001011,011101,110011,101101,111010,000110
001101,100101,101011,010011,111110,111001
001011,011101,110011,101101,111010,000110
001011,011101,110011,101101,111010,000110
010011,011100,111010,101111,110001,110110
010011,011100,111010,101111,110001,110110
101100,010100,110010,100101,111001,001111
101001,000111,100010,011110,110101,010011
101001,000111,100010,011110,110101,010011
010101,111000,010011,100111,011110,001001
010011,011100,111010,101111,110001,110110
010011,011100,111010,101111,110001,110110
001011,011101,110011,101101,111010,000110
001100,101001,010101,110100,011010,100111
001011,011101,110011,101101,111010,000110
010101,111000,010011,100111,011110,001001
010011,011100,111010,101111,110001,110110
001101,100101,101011,010011,111110,111001
010011,011100,111010,101111,110001,110110
010101,111000,010011,100111,011110,001001
010110,100101,100010,110001,111100,001011
010110,100101,100010,110001,111100,001011
001011,011101,110011,101101,111010,000110
001100,101001,010101,110100,011010,100111
010101,111000,010011,100111,011110,001001
001100,101001,010101,110100,011010,100111
010101,111000,010011,100111,011110,001001
101001,000111,100010,011110,110101,010011
